author,published_at,updated_at,like_count,text
@pewpewplaygames4386,2024-03-17T20:01:35Z,2024-03-17T20:04:25Z,1,Technology is suppose to assist human not replace humanThis is like building a gun in early human world See building gun led to whatSomethings are not supposed to be build Millions of family investing fortune and loans in their life study and career wiped off by this Happy codingThis will not only reduce the low quality devs but every quality dev even the best since AI evolve exponentially
@DanDoesGame,2024-03-17T19:39:19Z,2024-03-17T19:39:19Z,1,i give humans 2 years after this 
@shahbajsiddique1196,2024-03-17T19:28:53Z,2024-03-17T19:28:53Z,1,I will make another AI to replace Devin
@suryakantaswain1115,2024-03-17T19:22:36Z,2024-03-17T19:22:36Z,1,Time to protest against AI
@zhyrex39,2024-03-17T19:17:59Z,2024-03-17T19:17:59Z,0,Nayinte Mone Nirthikkoo 
@bappadityabera1959,2024-03-17T18:49:58Z,2024-03-17T18:49:58Z,0,it is not devin it is devil devil devil
@peteharrison3241,2024-03-17T18:44:02Z,2024-03-17T18:44:02Z,0,I imagine this is just for big business not freelance developers like me
@goodguy128,2024-03-17T18:18:47Z,2024-03-17T18:18:47Z,0,Gendu generation 
@ajayrajawat84,2024-03-17T17:42:54Z,2024-03-17T17:42:54Z,1,Company is too new Less than 10 members All members are new Showing this type of work Looks fraud
@hajsandeepa4332,2024-03-17T17:30:08Z,2024-03-17T17:30:08Z,0,My career is going to end even before its started
@gautamkumarverma2929,2024-03-17T17:03:58Z,2024-03-17T17:03:58Z,0,Similar to chatGPT
@kotwaldemar,2024-03-17T16:58:32Z,2024-03-17T17:00:13Z,0,I am thinking what is the aim of AI like this in general  To make ppl happier or to kill ppl passion  At the end everyone will lose their jobs because  AI will be able to do everything in every profession soo who will be eg buying AI products  D
@techprincetv,2024-03-17T16:36:24Z,2024-03-17T16:36:24Z,0,Okay i was super confident before watching this video but now seeing what Devin can do im kinda freaked out But i remain confident and focus cause whats sure is AI will never completely make we software engineers obselete even Devin or any other AI tool needs engineers for updates and maintenance and even for utility Software Engineers will always be of relevance in this world
@mortuza2425,2024-03-17T16:28:28Z,2024-03-17T16:28:28Z,0,ive just graduated from a coding bootcamp thanks for creating a new assistant for me
@diegoguatemala5287,2024-03-17T15:49:28Z,2024-03-17T15:49:28Z,0,sad but impressive as a fullt stack developer I fear fucking Davin
@Ahmed-eg7so,2024-03-17T15:46:42Z,2024-03-17T15:46:42Z,0,i love u
@xtremelinux,2024-03-17T15:41:02Z,2024-03-17T15:41:02Z,0,Good sales pitch Horrible reality check Nothing on the video addressees real world applicable job tasks in any software engineering position Secondly as again it was proven current AI including Devin lack sooo much when compared to even a junior developer that saying first AI software engineer would be like saying someone that just learned their first 3 tags of HTML can not claim to be a software engineer What you are actually creating here is a fallacy and fake news that does indeed have a negative impact on students in the area by making them think there is no need to stufy software anymore For junior devs by making them think AI can replace middle to complex tasks that need a lot of thinkingThe only ones that care about this would be senior developers with years of experience and professors in the area because they know the impact of it good and bad Socially related work related and knowledge related
@iTRYMLGaming,2024-03-17T15:30:54Z,2024-03-17T15:30:54Z,0,VC funding secured
@darkfrei2,2024-03-17T15:26:49Z,2024-03-17T15:26:49Z,0,Please make the AI to make promt  I am not very good in this
@yosuajuliando9064,2024-03-17T15:25:47Z,2024-03-17T15:25:47Z,0,Indoctrinating someone to tend to memorize like folders and files is 100 detrimental to stimulating logical thinking Why should AI be in the field of programming when many other fields are conventional
@hdhdydsjhsjshje,2024-03-17T15:24:02Z,2024-03-17T15:24:02Z,0,thanks devin for destroying my 4 year degree program 
@philtrem,2024-03-17T15:11:26Z,2024-03-17T15:13:50Z,0,Instead of linear planning you should develop a treelike project management API that organizes projects and tasks in a hierarchical treelike structure just like how folders are organized on a filesystem You can hire me to come build it Im a fullstack web developer NET C Typescript React etc I also know some basics of deep learning and want to learn more
@teluguinfofacts4600,2024-03-17T14:57:07Z,2024-03-17T14:57:07Z,0,A software engineer explained about AI software engineer
@Neener54,2024-03-17T14:39:34Z,2024-03-17T14:39:34Z,0,Look the courts have already ruled you have no ip claims on AI generated code This means Devin is going to struggle to find traction in companies where ip is important I suspect lawsuits will kill this company
@user-fz2cs6hq1l,2024-03-17T14:24:57Z,2024-03-17T14:24:57Z,0,This is just wrong Even if it turns out to be not as effective the craze from business people will effectively destroy hiring
@tahaezzahir5575,2024-03-17T13:49:04Z,2024-03-17T13:49:04Z,0,Deviiiiiiiiiin 
